COURSE NUMBER,COURSE NAME,CRN,INSTRUCTOR,DAYS,TIME,BUILDING,ROOM,SEATS AVAILABLE
FHCE7205S,Clinical Practicum in Financial Planning,27902,Kristy Pederson-Archuleta,W,1500-1730,Dawson Hall,379,0
FHCE7250,Capstone in Advanced Financial Planning,27723,Kimberly Watkins,TR,0935-1050,Dawson Hall,202,1
FHCE7270,Data for Consumer Analytics,67130,Daehwan Ahn,MWF,0910-1000,Dawson Hall,208,12
FHCE7360S,Topics in Sustainable Housing,63841,Kimberly Skobba,MWF,1130-1220,Dawson Hall,101,1
FHCE7950,"Research Internship in Financial Planning, Housing and Consumer Economics",56589,Dee Warmath,No days set,0001-2359,No Classroom Required,NCRR,5
FHCE7960,"Quantitative Internship in Financial Planning, Housing and Consumer Economics",69619,Dee Warmath,No days set,0001-2359,No Classroom Required,NCRR,4
FHCE8025,"Research Evaluation and Theory in Financial Planning, Housing and Consumer Economics",40670,Travis Mountain,M,1610-1840,Dawson Hall,101,3
FHCE8025E,"Research Evaluation and Theory in Financial Planning, Housing and Consumer Economics Practice",37325,John Grable,No days set,0001-2359,No Classroom Required,NCRR,11
FHCE8050,"Research Methods in Financial Planning, Housing and Consumer Economics II",27903,Patryk Babiarz,M,1600-1835,Dawson Hall,206,1
FHCE8200,Financial Planning and Analysis,64974,Joseph Goetz,F,1350-1620,Dawson Hall,116,4
FHCE8200E,Financial Planning and Analysis,53140,John Grable,No days set,0001-2359,No Classroom Required,NCRR,5
FHCE8500,Survey of Financial Therapy,56590,Kristy Pederson-Archuleta,M,1240-1520,Schwab Financial Planning Cntr,109,2
FHCE8500E,Survey of Financial Therapy,69640,Kristy Pederson-Archuleta,No days set,0001-2359,No Classroom Required,NCRR,1
FHCE8901,"Research Seminar Series in Financial Planning, Housing and Consumer Economics",56591,Swarnankur Chatterjee,W,1240-1330,Dawson Hall,310,5
FHCE9000,Doctoral Research,37645,Kimberly Skobba,No days set,0001-2359,No Classroom Required,NCRR,3
FHCE9000,Doctoral Research,37648,Swarnankur Chatterjee,No days set,0001-2359,No Classroom Required,NCRR,4
FHCE9000,Doctoral Research,38224,Patryk Babiarz,No days set,0001-2359,No Classroom Required,NCRR,4
FHCE9000,Doctoral Research,38616,Andrew Carswell,No days set,0001-2359,No Classroom Required,NCRR,4
FHCE9005,Doctoral Graduate Student Seminar,65691,Dee Warmath,No days set,0001-2359,No Classroom Required,NCRR,2
FHCE9010,"Directed Study in Financial Planning, Housing and Consumer Economics",41871,Dee Warmath,No days set,0001-2359,No Classroom Required,NCRR,0
FHCE9010,"Directed Study in Financial Planning, Housing and Consumer Economics",42600,Kristy Pederson-Archuleta,No days set,0001-2359,No Classroom Required,NCRR,3
FHCE9010,"Directed Study in Financial Planning, Housing and Consumer Economics",42658,Lu Fan,No days set,0001-2359,No Classroom Required,NCRR,4
