COURSE NUMBER,COURSE NAME,CRN,INSTRUCTOR,DAYS,TIME,BUILDING,ROOM,SEATS AVAILABLE
AAEC2580,Applied Microeconomic Principles,61007,Gregory Colson,TR,1110-1225,Conner Hall,104,17
AAEC3020,Analytical and Computational Tools for Applied Economics,61009,Shanjukta Nath,TR,1555-1710,Conner Hall,212,22
AAEC3020,Analytical and Computational Tools for Applied Economics,61635,Shanjukta Nath,TR,1555-1710,Griffin Slc,107,10
AAEC3020,Analytical and Computational Tools for Applied Economics,61642,Shanjukta Nath,TR,1555-1710,H. H. Tift Bldg,102,9
AAEC3100,Food and Fiber Marketing,61010,Vanessa Shonkwiler,MWF,0800-0850,Conner Hall,210,30
AAEC3100,Food and Fiber Marketing,61011,Vanessa Shonkwiler,MWF,0800-0850,Griffin Slc,107,10
AAEC3100,Food and Fiber Marketing,61012,Vanessa Shonkwiler,MWF,0800-0850,H. H. Tift Bldg,102,8
AAEC3200,Selling in Agribusiness,61013,Benjamin Campbell,TR,0935-1050,Conner Hall,104,0
AAEC3200,Selling in Agribusiness,61014,Benjamin Campbell,TR,0935-1050,H. H. Tift Bldg,102,7
AAEC3200,Selling in Agribusiness,61015,Benjamin Campbell,TR,0935-1050,Griffin Slc,107,10
AAEC3580,Intermediate Economic Principles,61016,Hongyi Yuan,MWF,1020-1110,Conner Hall,210,28
AAEC3580,Intermediate Economic Principles,61640,Hongyi Yuan,MWF,1020-1110,H. H. Tift Bldg,102,10
AAEC3580L,Intermediate Economic Principles,27061,Hongyi Yuan,MW,1130-1220,Conner Hall,210,28
AAEC3580L,Intermediate Economic Principles,61641,Hongyi Yuan,MW,1130-1220,H. H. Tift Bldg,102,10
AAEC3600,Economics of Food Policy,61017,Travis Smith,TR,1245-1400,Conner Hall,104,20
AAEC3600,Economics of Food Policy,61018,Travis Smith,TR,1245-1400,Griffin Slc,111,10
AAEC3600,Economics of Food Policy,61019,Travis Smith,TR,1245-1400,NESPAL South,534,7
AAEC3690,Agribusiness Finance,26626,Michael Adjemian,TR,1420-1535,Conner Hall,212,12
AAEC3690,Agribusiness Finance,26626,Michael Adjemian,W,1240-1330,Conner Hall,204,12
AAEC3690,Agribusiness Finance,26626,Michael Adjemian,W,1240-1330,Conner Hall,202,12
AAEC3910,Internships,32537,Gregory Colson,No days set,0001-2359,No Classroom Required,NCRR,5
AAEC3910,Internships,51811,Amanda Smith,No days set,0001-2359,No Classroom Required,NCRR,5
AAEC4040,Applied Statistics for Business Decisions,26845,Nicholas Bradley,M,1500-1550,Conner Hall,210,1
AAEC4040,Applied Statistics for Business Decisions,26845,Nicholas Bradley,MW,1350-1440,Conner Hall,210,1
AAEC4040,Applied Statistics for Business Decisions,27158,Nicholas Bradley,MW,1350-1440,Nespal,601,4
AAEC4040,Applied Statistics for Business Decisions,27158,Nicholas Bradley,M,1500-1550,Nespal,601,4
AAEC4040,Applied Statistics for Business Decisions,53544,Nicholas Bradley,M,1500-1550,Griffin Slc,107,5
AAEC4040,Applied Statistics for Business Decisions,53544,Nicholas Bradley,MW,1350-1440,Griffin Slc,107,5
AAEC4040L,Applied Statistics for Business Decisions,27159,Nicholas Bradley,W,1500-1550,Conner Hall,202,1
AAEC4040L,Applied Statistics for Business Decisions,39957,Nicholas Bradley,W,1500-1550,Griffin Slc,107,5
AAEC4040L,Applied Statistics for Business Decisions,53547,Nicholas Bradley,W,1500-1550,Nespal,601,4
AAEC4150,Energy Economics,37078,Jeffrey Mullen,TR,0935-1050,Conner Hall,210,8
AAEC4150,Energy Economics,44372,Jeffrey Mullen,TR,0935-1050,Griffin Slc,111,3
AAEC4150,Energy Economics,44373,Jeffrey Mullen,TR,0935-1050,NESPAL South,534,5
AAEC4610,Applied Econometrics,26854,Chen Zhen,TR,1110-1225,Conner Hall,212,3
AAEC4610L,Applied Econometrics,27064,Chen Zhen,T,1245-1400,Conner Hall,204,3
AAEC4710,Rural Economic Development and Growth,53239,Sharon Kane,MWF,0910-1000,Conner Hall,104,43
AAEC4710,Rural Economic Development and Growth,53557,Sharon Kane,MWF,0910-1000,Griffin Slc,107,9
AAEC4710,Rural Economic Development and Growth,53558,Sharon Kane,MWF,0910-1000,H. H. Tift Bldg,102,9
AAEC4730,The World Food Economy,44369,Ellen McCullough,TR,1110-1225,Conner Hall,210,24
AAEC4730,The World Food Economy,44371,Ellen McCullough,TR,1110-1225,H. H. Tift Bldg,102,9
AAEC4870,Futures and Option Markets,27056,Berna Karali,TR,1420-1535,Conner Hall,210,58
AAEC4870,Futures and Option Markets,44377,Berna Karali,TR,1420-1535,H. H. Tift Bldg,102,10
AAEC4870,Futures and Option Markets,62238,Berna Karali,TR,1420-1535,Griffin Slc,107,10
AAEC4930,Environmental Law and Governmental Regulation,68565,Catherine Clutter,TR,1420-1535,Geography Geology,0200B,0
AAEC4960R,Faculty-Mentored Undergraduate Research I,69447,Ellen McCullough,No days set,0001-2359,No Classroom Required,NCRR,0
AAEC4980,Agribusiness Management,26614,Benjamin Campbell,TR,1245-1400,Conner Hall,210,35
AAEC4980,Agribusiness Management,27152,Benjamin Campbell,TR,1245-1400,H. H. Tift Bldg,102,9
AAEC4980,Agribusiness Management,53545,Benjamin Campbell,TR,1245-1400,Griffin Slc,107,10
AAEC4990,Special Topics in Agricultural and Applied Economics,68161,Daniel Remar,MWF,1500-1550,Building 1013,136,16
AAEC4990,Special Topics in Agricultural and Applied Economics,69241,Amanda Smith,No days set,0001-2359,No Classroom Required,NCRR,9
AAEC6570,Economic Tools for Business Decisions,35878,Michael Adjemian,TR,1245-1400,Conner Hall,310,16
AAEC6590,Microeconomics: Theory with Applications II,26841,Gregory Colson,F,1420-1535,Conner Hall,210,21
AAEC6590,Microeconomics: Theory with Applications II,26841,Gregory Colson,TR,1245-1400,Conner Hall,212,21
AAEC6620,Applied Econometrics,26837,Berna Karali,R,1055-1230,Conner Hall,202,9
AAEC6620,Applied Econometrics,26837,Berna Karali,TR,0935-1050,Conner Hall,212,9
AAEC6710,Rural Economic Development and Growth,53548,Sharon Kane,MWF,0910-1000,Conner Hall,104,89
AAEC6870,Futures and Option Markets,31764,Berna Karali,TR,1420-1535,Conner Hall,210,7
AAEC6930,Environmental Law and Governmental Regulation,68566,Catherine Clutter,TR,1420-1535,Geography Geology,0200B,0
AAEC6980,Advanced Agribusiness Management,27059,Cesar Escalante,TR,1110-1225,Conner Hall,310,15
AAEC7000,Master's Research,32163,Berna Karali,No days set,0001-2359,No Classroom Required,NCRR,4
AAEC7000,Master's Research,32166,Cesar Escalante,No days set,0001-2359,No Classroom Required,NCRR,2
AAEC7000,Master's Research,32168,Chen Zhen,No days set,0001-2359,No Classroom Required,NCRR,5
AAEC7000,Master's Research,32169,Craig Landry,No days set,0001-2359,No Classroom Required,NCRR,2
AAEC7000,Master's Research,32170,Daniel Remar,No days set,0001-2359,No Classroom Required,NCRR,4
AAEC7000,Master's Research,32172,Ellen McCullough,No days set,0001-2359,No Classroom Required,NCRR,5
AAEC7000,Master's Research,32174,Gentian Kostandini,No days set,0001-2359,No Classroom Required,NCRR,3
AAEC7000,Master's Research,32175,Gregory Colson,No days set,0001-2359,No Classroom Required,NCRR,1
AAEC7000,Master's Research,32176,Gopinath Munisamy,No days set,0001-2359,No Classroom Required,NCRR,5
AAEC7000,Master's Research,32177,Esendugue Fonsah,No days set,0001-2359,No Classroom Required,NCRR,4
AAEC7000,Master's Research,32178,Yeon Sook Im,No days set,0001-2359,No Classroom Required,NCRR,4
AAEC7000,Master's Research,38210,Jeffrey Mullen,No days set,0001-2359,No Classroom Required,NCRR,3
AAEC7000,Master's Research,46589,John Salazar,No days set,0001-2359,No Classroom Required,NCRR,5
AAEC7000,Master's Research,47134,Mateusz Filipski,No days set,0001-2359,No Classroom Required,NCRR,5
AAEC7000,Master's Research,47542,Michael Adjemian,No days set,0001-2359,No Classroom Required,NCRR,4
AAEC7000,Master's Research,50662,Lusi Xie,No days set,0001-2359,No Classroom Required,NCRR,4
AAEC7000,Master's Research,50663,Susana Ferreira,No days set,0001-2359,No Classroom Required,NCRR,5
AAEC7000,Master's Research,50664,Travis Smith,No days set,0001-2359,No Classroom Required,NCRR,5
AAEC7000,Master's Research,50665,Vanessa Shonkwiler,No days set,0001-2359,No Classroom Required,NCRR,5
AAEC7000,Master's Research,59094,Shanjukta Nath,No days set,0001-2359,No Classroom Required,NCRR,4
AAEC7000,Master's Research,61802,William Secor,No days set,0001-2359,No Classroom Required,NCRR,2
AAEC7000,Master's Research,62361,Wojciech Florkowski,No days set,0001-2359,No Classroom Required,NCRR,4
AAEC7000,Master's Research,62422,Yangxuan Liu,No days set,0001-2359,No Classroom Required,NCRR,3
AAEC7000,Master's Research,62784,Yukiko Hashida,No days set,0001-2359,No Classroom Required,NCRR,4
AAEC7000,Master's Research,63435,Benjamin Campbell,No days set,0001-2359,No Classroom Required,NCRR,21
AAEC7000,Master's Research,68068,Austin Ramsey,No days set,0001-2359,No Classroom Required,NCRR,25
AAEC7300,Master's Thesis,32891,Gopinath Munisamy,No days set,0001-2359,No Classroom Required,NCRR,5
AAEC7300,Master's Thesis,32893,Mateusz Filipski,No days set,0001-2359,No Classroom Required,NCRR,5
AAEC7300,Master's Thesis,32894,Ellen McCullough,No days set,0001-2359,No Classroom Required,NCRR,5
AAEC7300,Master's Thesis,32896,Susana Ferreira,No days set,0001-2359,No Classroom Required,NCRR,5
AAEC7300,Master's Thesis,32897,Chen Zhen,No days set,0001-2359,No Classroom Required,NCRR,5
AAEC7300,Master's Thesis,32898,Daniel Remar,No days set,0001-2359,No Classroom Required,NCRR,5
AAEC7300,Master's Thesis,32899,Gregory Colson,No days set,0001-2359,No Classroom Required,NCRR,4
AAEC7300,Master's Thesis,32902,Esendugue Fonsah,No days set,0001-2359,No Classroom Required,NCRR,5
AAEC7300,Master's Thesis,32907,Yeon Sook Im,No days set,0001-2359,No Classroom Required,NCRR,5
AAEC7300,Master's Thesis,32908,John Salazar,No days set,0001-2359,No Classroom Required,NCRR,5
AAEC7300,Master's Thesis,32909,Michael Adjemian,No days set,0001-2359,No Classroom Required,NCRR,5
AAEC7300,Master's Thesis,32910,Lusi Xie,No days set,0001-2359,No Classroom Required,NCRR,5
AAEC7300,Master's Thesis,32911,Travis Smith,No days set,0001-2359,No Classroom Required,NCRR,5
AAEC7300,Master's Thesis,32912,Vanessa Shonkwiler,No days set,0001-2359,No Classroom Required,NCRR,5
AAEC7300,Master's Thesis,32913,William Secor,No days set,0001-2359,No Classroom Required,NCRR,5
AAEC7300,Master's Thesis,32914,Wojciech Florkowski,No days set,0001-2359,No Classroom Required,NCRR,4
AAEC7300,Master's Thesis,46960,Shanjukta Nath,No days set,0001-2359,No Classroom Required,NCRR,5
AAEC7300,Master's Thesis,61803,Jeffrey Mullen,No days set,0001-2359,No Classroom Required,NCRR,23
AAEC7300,Master's Thesis,62362,Yangxuan Liu,No days set,0001-2359,No Classroom Required,NCRR,4
AAEC7300,Master's Thesis,62423,Cesar Escalante,No days set,0001-2359,No Classroom Required,NCRR,4
AAEC7300,Master's Thesis,62786,Craig Landry,No days set,0001-2359,No Classroom Required,NCRR,3
AAEC7300,Master's Thesis,62888,Gentian Kostandini,No days set,0001-2359,No Classroom Required,NCRR,4
AAEC7300,Master's Thesis,62909,Berna Karali,No days set,0001-2359,No Classroom Required,NCRR,4
AAEC7300,Master's Thesis,62992,Yukiko Hashida,No days set,0001-2359,No Classroom Required,NCRR,5
AAEC7300,Master's Thesis,63436,Benjamin Campbell,No days set,0001-2359,No Classroom Required,NCRR,25
AAEC7300,Master's Thesis,68073,Austin Ramsey,No days set,0001-2359,No Classroom Required,NCRR,5
AAEC7310,Masters of Agribusiness Research Project,42117,Benjamin Campbell,No days set,0001-2359,No Classroom Required,NCRR,23
AAEC7310,Masters of Agribusiness Research Project,43520,Cesar Escalante,No days set,0001-2359,No Classroom Required,NCRR,5
AAEC7310,Masters of Agribusiness Research Project,46505,Daniel Remar,No days set,0001-2359,No Classroom Required,NCRR,5
AAEC7310,Masters of Agribusiness Research Project,46506,Esendugue Fonsah,No days set,0001-2359,No Classroom Required,NCRR,4
AAEC7310,Masters of Agribusiness Research Project,59095,Vanessa Shonkwiler,No days set,0001-2359,No Classroom Required,NCRR,5
AAEC7310,Masters of Agribusiness Research Project,59097,William Secor,No days set,0001-2359,No Classroom Required,NCRR,3
AAEC8010,Seminar in Agricultural and Applied Economics,26634,Berna Karali,W,1555-1710,Conner Hall,104,33
AAEC8020,Topics in Agricultural and Applied Economics,43080,Yeon Sook Im,No days set,0001-2359,No Classroom Required,NCRR,5
AAEC8020,Topics in Agricultural and Applied Economics,62108,Shanjukta Nath,No days set,0001-2359,No Classroom Required,NCRR,5
AAEC8020,Topics in Agricultural and Applied Economics,63437,Benjamin Campbell,No days set,0001-2359,No Classroom Required,NCRR,25
AAEC8020,Topics in Agricultural and Applied Economics,63496,Berna Karali,No days set,0001-2359,No Classroom Required,NCRR,5
AAEC8020,Topics in Agricultural and Applied Economics,63497,Cesar Escalante,No days set,0001-2359,No Classroom Required,NCRR,5
AAEC8020,Topics in Agricultural and Applied Economics,63499,Chen Zhen,No days set,0001-2359,No Classroom Required,NCRR,5
AAEC8020,Topics in Agricultural and Applied Economics,63500,Craig Landry,No days set,0001-2359,No Classroom Required,NCRR,5
AAEC8020,Topics in Agricultural and Applied Economics,63501,Daniel Remar,No days set,0001-2359,No Classroom Required,NCRR,5
AAEC8020,Topics in Agricultural and Applied Economics,63502,Ellen McCullough,No days set,0001-2359,No Classroom Required,NCRR,3
AAEC8020,Topics in Agricultural and Applied Economics,63503,Gentian Kostandini,No days set,0001-2359,No Classroom Required,NCRR,5
AAEC8020,Topics in Agricultural and Applied Economics,63504,Gopinath Munisamy,No days set,0001-2359,No Classroom Required,NCRR,4
AAEC8020,Topics in Agricultural and Applied Economics,63506,Gregory Colson,No days set,0001-2359,No Classroom Required,NCRR,5
AAEC8020,Topics in Agricultural and Applied Economics,63507,Esendugue Fonsah,No days set,0001-2359,No Classroom Required,NCRR,5
AAEC8020,Topics in Agricultural and Applied Economics,63508,Lusi Xie,No days set,0001-2359,No Classroom Required,NCRR,5
AAEC8020,Topics in Agricultural and Applied Economics,63509,John Salazar,No days set,0001-2359,No Classroom Required,NCRR,5
AAEC8020,Topics in Agricultural and Applied Economics,63510,Michael Adjemian,No days set,0001-2359,No Classroom Required,NCRR,5
AAEC8020,Topics in Agricultural and Applied Economics,63514,Mateusz Filipski,No days set,0001-2359,No Classroom Required,NCRR,5
AAEC8020,Topics in Agricultural and Applied Economics,63517,Susana Ferreira,No days set,0001-2359,No Classroom Required,NCRR,5
AAEC8020,Topics in Agricultural and Applied Economics,63518,Travis Smith,No days set,0001-2359,No Classroom Required,NCRR,5
AAEC8020,Topics in Agricultural and Applied Economics,63519,Vanessa Shonkwiler,No days set,0001-2359,No Classroom Required,NCRR,5
AAEC8020,Topics in Agricultural and Applied Economics,63520,William Secor,No days set,0001-2359,No Classroom Required,NCRR,5
AAEC8020,Topics in Agricultural and Applied Economics,63521,Wojciech Florkowski,No days set,0001-2359,No Classroom Required,NCRR,5
AAEC8020,Topics in Agricultural and Applied Economics,63522,Yangxuan Liu,No days set,0001-2359,No Classroom Required,NCRR,5
AAEC8020,Topics in Agricultural and Applied Economics,63523,Yukiko Hashida,No days set,0001-2359,No Classroom Required,NCRR,5
AAEC8020,Topics in Agricultural and Applied Economics,65074,Jeffrey Mullen,TR,0935-1050,Conner Hall,210,14
AAEC8020,Topics in Agricultural and Applied Economics,68074,Austin Ramsey,No days set,0001-2359,No Classroom Required,NCRR,5
AAEC8150,Survey Design and Experimental Economics,69385,Gregory Colson,TR,1555-1710,Conner Hall,307,17
AAEC8260,Advanced Nutrition Policy Analytics,50855,Chen Zhen,MW,1345-1500,Conner Hall,310,16
AAEC8300,Agricultural Economics Research,63438,Benjamin Campbell,No days set,0001-2359,No Classroom Required,NCRR,25
AAEC8300,Agricultural Economics Research,63526,Berna Karali,No days set,0001-2359,No Classroom Required,NCRR,5
AAEC8300,Agricultural Economics Research,63527,Cesar Escalante,No days set,0001-2359,No Classroom Required,NCRR,5
AAEC8300,Agricultural Economics Research,63528,Chen Zhen,No days set,0001-2359,No Classroom Required,NCRR,5
AAEC8300,Agricultural Economics Research,63529,Craig Landry,No days set,0001-2359,No Classroom Required,NCRR,5
AAEC8300,Agricultural Economics Research,63530,Daniel Remar,No days set,0001-2359,No Classroom Required,NCRR,5
AAEC8300,Agricultural Economics Research,63531,Ellen McCullough,No days set,0001-2359,No Classroom Required,NCRR,5
AAEC8300,Agricultural Economics Research,63532,Gentian Kostandini,No days set,0001-2359,No Classroom Required,NCRR,5
AAEC8300,Agricultural Economics Research,63533,Gopinath Munisamy,No days set,0001-2359,No Classroom Required,NCRR,5
AAEC8300,Agricultural Economics Research,63538,Gregory Colson,No days set,0001-2359,No Classroom Required,NCRR,5
AAEC8300,Agricultural Economics Research,63539,Esendugue Fonsah,No days set,0001-2359,No Classroom Required,NCRR,5
AAEC8300,Agricultural Economics Research,63540,Yeon Sook Im,No days set,0001-2359,No Classroom Required,NCRR,5
AAEC8300,Agricultural Economics Research,63541,Jeffrey Mullen,No days set,0001-2359,No Classroom Required,NCRR,5
AAEC8300,Agricultural Economics Research,63542,John Salazar,No days set,0001-2359,No Classroom Required,NCRR,5
AAEC8300,Agricultural Economics Research,63543,Mateusz Filipski,No days set,0001-2359,No Classroom Required,NCRR,5
AAEC8300,Agricultural Economics Research,63545,Michael Adjemian,No days set,0001-2359,No Classroom Required,NCRR,5
AAEC8300,Agricultural Economics Research,63546,Lusi Xie,No days set,0001-2359,No Classroom Required,NCRR,5
AAEC8300,Agricultural Economics Research,63547,Susana Ferreira,No days set,0001-2359,No Classroom Required,NCRR,5
AAEC8300,Agricultural Economics Research,63548,Travis Smith,No days set,0001-2359,No Classroom Required,NCRR,5
AAEC8300,Agricultural Economics Research,63549,Vanessa Shonkwiler,No days set,0001-2359,No Classroom Required,NCRR,5
AAEC8300,Agricultural Economics Research,63551,William Secor,No days set,0001-2359,No Classroom Required,NCRR,5
AAEC8300,Agricultural Economics Research,63553,Wojciech Florkowski,No days set,0001-2359,No Classroom Required,NCRR,5
AAEC8300,Agricultural Economics Research,63554,Yangxuan Liu,No days set,0001-2359,No Classroom Required,NCRR,5
AAEC8300,Agricultural Economics Research,63556,Yukiko Hashida,No days set,0001-2359,No Classroom Required,NCRR,5
AAEC8300,Agricultural Economics Research,66898,Shanjukta Nath,No days set,0001-2359,No Classroom Required,NCRR,5
AAEC8300,Agricultural Economics Research,68075,Austin Ramsey,No days set,0001-2359,No Classroom Required,NCRR,5
AAEC8300,Agricultural Economics Research,68090,Mateusz Filipski,No days set,0001-2359,No Classroom Required,NCRR,5
AAEC8350,Research and Professional Development,68094,Michael Adjemian,W,1350-1440,Conner Hall,307,33
AAEC9000,Doctoral Research,32921,Gregory Colson,No days set,0001-2359,No Classroom Required,NCRR,5
AAEC9000,Doctoral Research,32922,Wojciech Florkowski,No days set,0001-2359,No Classroom Required,NCRR,3
AAEC9000,Doctoral Research,32923,Cesar Escalante,No days set,0001-2359,No Classroom Required,NCRR,2
AAEC9000,Doctoral Research,32924,Daniel Remar,No days set,0001-2359,No Classroom Required,NCRR,5
AAEC9000,Doctoral Research,32925,Gentian Kostandini,No days set,0001-2359,No Classroom Required,NCRR,5
AAEC9000,Doctoral Research,32952,Esendugue Fonsah,No days set,0001-2359,No Classroom Required,NCRR,5
AAEC9000,Doctoral Research,32953,John Salazar,No days set,0001-2359,No Classroom Required,NCRR,5
AAEC9000,Doctoral Research,32954,Vanessa Shonkwiler,No days set,0001-2359,No Classroom Required,NCRR,5
AAEC9000,Doctoral Research,32955,Yangxuan Liu,No days set,0001-2359,No Classroom Required,NCRR,5
AAEC9000,Doctoral Research,32956,Yukiko Hashida,No days set,0001-2359,No Classroom Required,NCRR,1
AAEC9000,Doctoral Research,50669,Lusi Xie,No days set,0001-2359,No Classroom Required,NCRR,5
AAEC9000,Doctoral Research,61804,Jeffrey Mullen,No days set,0001-2359,No Classroom Required,NCRR,4
AAEC9000,Doctoral Research,62199,Yeon Sook Im,No days set,0001-2359,No Classroom Required,NCRR,5
AAEC9000,Doctoral Research,62237,Ellen McCullough,No days set,0001-2359,No Classroom Required,NCRR,2
AAEC9000,Doctoral Research,62284,Travis Smith,No days set,0001-2359,No Classroom Required,NCRR,3
AAEC9000,Doctoral Research,62306,William Secor,No days set,0001-2359,No Classroom Required,NCRR,4
AAEC9000,Doctoral Research,62331,Berna Karali,No days set,0001-2359,No Classroom Required,NCRR,3
AAEC9000,Doctoral Research,62356,Chen Zhen,No days set,0001-2359,No Classroom Required,NCRR,19
AAEC9000,Doctoral Research,62609,Craig Landry,No days set,0001-2359,No Classroom Required,NCRR,2
AAEC9000,Doctoral Research,62715,Gopinath Munisamy,No days set,0001-2359,No Classroom Required,NCRR,3
AAEC9000,Doctoral Research,62830,Mateusz Filipski,No days set,0001-2359,No Classroom Required,NCRR,3
AAEC9000,Doctoral Research,62906,Shanjukta Nath,No days set,0001-2359,No Classroom Required,NCRR,5
AAEC9000,Doctoral Research,62968,Michael Adjemian,No days set,0001-2359,No Classroom Required,NCRR,5
AAEC9000,Doctoral Research,62990,Susana Ferreira,No days set,0001-2359,No Classroom Required,NCRR,2
AAEC9000,Doctoral Research,63439,Benjamin Campbell,No days set,0001-2359,No Classroom Required,NCRR,23
AAEC9000,Doctoral Research,68076,Austin Ramsey,No days set,0001-2359,No Classroom Required,NCRR,3
AAEC9300,Doctoral Dissertation,32976,Wojciech Florkowski,No days set,0001-2359,No Classroom Required,NCRR,3
AAEC9300,Doctoral Dissertation,32977,Gregory Colson,No days set,0001-2359,No Classroom Required,NCRR,5
AAEC9300,Doctoral Dissertation,32978,Craig Landry,No days set,0001-2359,No Classroom Required,NCRR,1
AAEC9300,Doctoral Dissertation,32979,Daniel Remar,No days set,0001-2359,No Classroom Required,NCRR,5
AAEC9300,Doctoral Dissertation,32980,Gentian Kostandini,No days set,0001-2359,No Classroom Required,NCRR,5
AAEC9300,Doctoral Dissertation,32981,Esendugue Fonsah,No days set,0001-2359,No Classroom Required,NCRR,5
AAEC9300,Doctoral Dissertation,32982,John Salazar,No days set,0001-2359,No Classroom Required,NCRR,5
AAEC9300,Doctoral Dissertation,32983,Vanessa Shonkwiler,No days set,0001-2359,No Classroom Required,NCRR,5
AAEC9300,Doctoral Dissertation,32984,William Secor,No days set,0001-2359,No Classroom Required,NCRR,5
AAEC9300,Doctoral Dissertation,32985,Shanjukta Nath,No days set,0001-2359,No Classroom Required,NCRR,5
AAEC9300,Doctoral Dissertation,32986,Yangxuan Liu,No days set,0001-2359,No Classroom Required,NCRR,5
AAEC9300,Doctoral Dissertation,32987,Yukiko Hashida,No days set,0001-2359,No Classroom Required,NCRR,3
AAEC9300,Doctoral Dissertation,61805,Jeffrey Mullen,No days set,0001-2359,No Classroom Required,NCRR,3
AAEC9300,Doctoral Dissertation,62205,Yeon Sook Im,No days set,0001-2359,No Classroom Required,NCRR,5
AAEC9300,Doctoral Dissertation,62235,Ellen McCullough,No days set,0001-2359,No Classroom Required,NCRR,3
AAEC9300,Doctoral Dissertation,62286,Travis Smith,No days set,0001-2359,No Classroom Required,NCRR,3
AAEC9300,Doctoral Dissertation,62333,Berna Karali,No days set,0001-2359,No Classroom Required,NCRR,4
AAEC9300,Doctoral Dissertation,62357,Chen Zhen,No days set,0001-2359,No Classroom Required,NCRR,4
AAEC9300,Doctoral Dissertation,62425,Cesar Escalante,No days set,0001-2359,No Classroom Required,NCRR,4
AAEC9300,Doctoral Dissertation,62714,Gopinath Munisamy,No days set,0001-2359,No Classroom Required,NCRR,3
AAEC9300,Doctoral Dissertation,62831,Mateusz Filipski,No days set,0001-2359,No Classroom Required,NCRR,4
AAEC9300,Doctoral Dissertation,62833,Susana Ferreira,No days set,0001-2359,No Classroom Required,NCRR,3
AAEC9300,Doctoral Dissertation,62907,Lusi Xie,No days set,0001-2359,No Classroom Required,NCRR,5
AAEC9300,Doctoral Dissertation,62969,Michael Adjemian,No days set,0001-2359,No Classroom Required,NCRR,4
AAEC9300,Doctoral Dissertation,63440,Benjamin Campbell,No days set,0001-2359,No Classroom Required,NCRR,4
AAEC9300,Doctoral Dissertation,68080,Austin Ramsey,No days set,0001-2359,No Classroom Required,NCRR,3
ACCT1160,Survey of Accounting,21775,Sarah Banghart,TR,0935-1050,Orkin,D007,0
ACCT1160,Survey of Accounting,52224,Sarah Banghart,TR,0800-0915,Amos Hall,B012,3
ACCT2101,Principles of Accounting I,21780,Jennifer Rivers,TR,0800-0915,Ivester,E001,2
ACCT2101,Principles of Accounting I,21780,Jennifer Rivers,W,1800-2200,Building not yet assigned,Not set,2
ACCT2101,Principles of Accounting I,21782,Theodore Christensen,W,1800-2200,Building not yet assigned,Not set,0
ACCT2101,Principles of Accounting I,21782,Theodore Christensen,TR,0935-1050,Inst Plaza,S306,0
ACCT2101,Principles of Accounting I,24527,Theodore Christensen,TR,1245-1400,Inst Plaza,S306,0
ACCT2101,Principles of Accounting I,24527,Theodore Christensen,W,1800-2200,Building not yet assigned,Not set,0
ACCT2101,Principles of Accounting I,40174,Theodore Christensen,W,1800-2200,Building not yet assigned,Not set,2
ACCT2101,Principles of Accounting I,40174,Theodore Christensen,TR,1110-1225,Inst Plaza,S306,2
ACCT2101,Principles of Accounting I,64081,Yelin Hu,W,1800-2200,Building not yet assigned,Not set,0
ACCT2101,Principles of Accounting I,64081,Yelin Hu,TR,1420-1535,Zell B Miller Learning Center,205,0
ACCT2101H,Principles of Accounting I (Honors),64090,Erin Towery,TR,1110-1225,Zell B Miller Learning Center,368,0
ACCT2102,Principles of Accounting II,64082,Abigail Quigley,MWF,0800-0850,Zell B Miller Learning Center,101,18
ACCT2102,Principles of Accounting II,64082,Abigail Quigley,R,1800-2100,Building not yet assigned,Not set,18
ACCT2102,Principles of Accounting II,64082,Abigail Quigley,T,1800-2100,Building not yet assigned,Not set,18
ACCT2102,Principles of Accounting II,64083,Abigail Quigley,R,1800-2100,Building not yet assigned,Not set,0
ACCT2102,Principles of Accounting II,64083,Abigail Quigley,MWF,0910-1000,Zell B Miller Learning Center,248,0
ACCT2102,Principles of Accounting II,64083,Abigail Quigley,T,1800-2100,Building not yet assigned,Not set,0
ACCT2102,Principles of Accounting II,64084,Abigail Quigley,T,1800-2100,Building not yet assigned,Not set,0
ACCT2102,Principles of Accounting II,64084,Abigail Quigley,MWF,1020-1110,Zell B Miller Learning Center,248,0
ACCT2102,Principles of Accounting II,64084,Abigail Quigley,R,1800-2100,Building not yet assigned,Not set,0
ACCT2102,Principles of Accounting II,64086,Abigail Quigley,R,1800-2100,Building not yet assigned,Not set,0
ACCT2102,Principles of Accounting II,64086,Abigail Quigley,MWF,1240-1330,Zell B Miller Learning Center,248,0
ACCT2102,Principles of Accounting II,64086,Abigail Quigley,T,1800-2100,Building not yet assigned,Not set,0
ACCT2102,Principles of Accounting II,64087,Haley Thoms,MWF,0910-1000,Ivester,E101,0
ACCT2102,Principles of Accounting II,64087,Haley Thoms,R,1800-2100,Building not yet assigned,Not set,0
ACCT2102,Principles of Accounting II,64087,Haley Thoms,T,1800-2100,Building not yet assigned,Not set,0
ACCT2102,Principles of Accounting II,64088,Haley Thoms,R,1800-2100,Building not yet assigned,Not set,1
ACCT2102,Principles of Accounting II,64088,Haley Thoms,T,1800-2100,Building not yet assigned,Not set,1
ACCT2102,Principles of Accounting II,64088,Haley Thoms,MWF,1020-1110,Ivester,E101,1
ACCT2102,Principles of Accounting II,65349,Abigail Quigley,MWF,1130-1220,Zell B Miller Learning Center,248,1
